section,phase,node,order,line_id,key,speaker,condition,norm,fp,nlen
L01 Ryan,phone,Ryan_1_PhoneTutorial,4,line:e216aee0,38526f3244d3b009,Phone,,ba9fde57a4c223e9,d6bd871921acb6e4,7
L01 Ryan,phone,Ryan_1_PhoneTutorial,5,line:7426a997,ab5df625bc76dbd4,Phone,,e3b0c44298fc1c14,0000000000000000,0
L01 Ryan,phone,Ryan_1_PhoneTutorial,6,line:d7b3cd09,4d4a3684433b7f10,Phone,,fd956abab1dc382f,c299ae1944e3913c,26
L01 Ryan,phone,Ryan_1_PhoneTutorial,7,line:4183ca7e,07c91bff06f38512,Phone,,336726fa6ae94826,c2d3a5196dfb741e,71
L01 Ryan,phone,Ryan_1_PhoneTutorial,8,line:fbd2c3e7,3d08b37cdf5c2183,Kobold,,ca3704aa0b06f595,000292192184981c,4
L01 Ryan,phone,Ryan_1_PhoneTutorial,9,line:8f46bb17,01888febaebd67cd,Kobold,,14ace74f70e97f34,42b18a1969c399e8,18
L01 Ryan,phone,Ryan_1_PhoneTutorial,10,line:6de2c490,085283be600618d2,Phone,,70a0d5198ebb88f9,089c3a07b545876c,2
L01 Ryan,phone,Ryan_1_PhoneTutorial,11,line:fcff7b00,4ad86617a918d8ec,Phone,,efd12475ad12e0fb,42db87194df1458b,50
L01 Ryan,phone,Ryan_1_PhoneTutorial,12,line:6acf7c77,af789b5c60f24630,Phone,,a608c84cf24a5751,c2c5a71965d1d870,46
L01 Ryan,phone,Ryan_1_PhoneTutorial,13,line:1976bc60,bb645759b5bd99d4,Phone,,bbc1f9ce326724d8,c2d9af1965f0cd01,64
L01 Ryan,phone,Ryan_1_PhoneTutorial,14,line:a327b5f9,474ab3afa218a5df,Kobold,,6a581ee901185606,181902192048c048,4
L01 Ryan,phone,Ryan_1_PhoneTutorial,15,line:3517b28e,7d869361bdb13d98,Phone,,0cbc8c7700638fdc,c299ae1944e7912c,21
L01 Ryan,progress,Ryan_1_required,1,line:c9e7bb1e,098ac93ca7999f8c,Ryan,,edb2aa754accd6ff,c2dd891965fb4805,38
L01 Ryan,progress,Ryan_1_required,2,line:5fd7bc69,7b999e621945fe90,Kobold,,c06fc555902938b4,b53f7d197981bca9,3
L01 Ryan,progress,Ryan_1_required,3,line:c70bea2d,1cb7709c2b6cdc0b,Kobold,,c7982d8fe5be5665,c2c2b51965f828ce,38
L01 Ryan,progress,Ryan_1_required,4,line:eb6ae4c3,9b9024cada67653e,Ryan,,d7ff3aabe509784e,120da31921ca33a0,7
L01 Ryan,progress,Ryan_1_required,5,line:7d5ae3b4,fbd8fe3b49aed7c5,Ryan,,8e8fc676bd2d6462,4299af190de30c0e,42
L01 Ryan,progress,Ryan_1_required,6,line:513bed5a,3f742efbf9edb2ee,Ryan,,7404acf6bbb13218,4294871945f9acb2,27
L01 Ryan,progress,Ryan_1_required,7,line:f2ae89c4,e6c276d67e994ed5,Ryan,,10cc25b605486056,03918d196dd1f463,38
L01 Ryan,progress,Ryan_1_required,8,line:649e8eb3,e99ba1a86146f1aa,Ryan,,368c5f8d379989ae,c297cc196df1ef9d,45
L01 Ryan,progress,Ryan_1_required,9,line:decf872a,ab5df625bc76dbd4,Ryan,,e3b0c44298fc1c14,0000000000000000,0
L01 Ryan,nag,Ryan_1_nag,1,line:71b651dd,c2aa03c999eb7731,Ryan,,9c0cc3cae9b27fe0,c211ae196de3c10c,27
L01 Ryan,nag,Ryan_1_nag,2,line:e78656aa,5b798fca0ab51d6c,Ryan,,c0b8a1019ffecc43,c283a6196db3e047,43
L01 Ryan,jerkoff,ryan_jerk_off_no,1,line:2d5fc8a2,2e75bb6a3610c11b,Ryan,,0fc1da052a691fcd,c201a01945e3c414,42
L01 Ryan,mount_start,ryan_mount_no,1,line:6bd91ca7,91c3bf04fb99ce8b,Ryan,,f10d4c2e5b66f527,0299aa190dc3f85a,32
L01 Ryan,outro,Ryan_1_Outro,1,line:65a41bc5,0d26aa953ca02c41,Ryan,,a84a827c2d8a8fb3,c2c98c194dc08dc1,24
L01 Ryan,outro,Ryan_1_Outro,2,line:f4b9a455,699cdec6a62f5ff3,Ryan,,6fde027813b95372,c2d18d190dfbacb2,31
L01 Ryan,outro,Ryan_1_Outro,3,line:6289a322,c3bbf19f280c6dde,Kobold,,b8ddd18348f963d2,c288901968d8c094,18
L01 Ryan,outro,Ryan_1_Outro,4,line:11306335,66984a1e53d3e869,Kobold,,a3a9e1381370b0a2,02d5e41905702885,21
L01 Ryan,outro,Ryan_1_Outro,5,line:3d516ddb,b8a4a2d6c54c16d8,Kobold,,b825d7019d825226,b568851979a4cf55,3
L01 Ryan,outro,Ryan_1_Outro,6,line:87006442,d629b0ed3f97727c,Ryan,,09234b51ecb812e6,42d18f1945c9edfc,45
L01 Ryan,outro,Ryan_1_Outro,7,line:ab616aac,e12cf68db48908a3,Ryan,,910b43e1187b2a9e,42a18e194d506c6b,38
L01 Ryan,outro,Ryan_1_Outro,8,line:9ec40945,29a9062b9b45c6ef,Ryan,,1697d6f2ecad8a37,52d3a7194da0d917,19
L01 Ryan,outro,Ryan_1_Outro,9,line:08f40e32,0712e97652e51758,Ryan,,947834e1c2537479,c2bba5194df350a8,41
L01 Ryan,outro,Ryan_1_Outro,10,line:b2a507ab,17f93a33eafe382c,Ryan,,03ac931c0bc6b0c0,42b1891965f3c53e,35
L01 Ryan,outro,Ryan_1_Outro,11,line:249500dc,474ab3afa218a5df,Kobold,,6a581ee901185606,181902192048c048,4
L01 Ryan,outro,Ryan_1_Outro,12,line:b588bf4c,1aa7b1c1d5fb1fd6,Ryan,,a6a2729cbf6bcadc,2255801905200c04,6
L02 Conrad,intro,Conrad_Intro_1,1,line:36073321,d391aece578e396f,Conrad,,857e0e7a70b5adff,c3d081194de3fd2b,33
L02 Conrad,intro,Conrad_Intro_1,2,line:a0373456,e2b71fbe0e3a8220,Conrad,,ac6b02501de2eaee,c2d1a41945f9ecd0,51
L02 Conrad,intro,Conrad_Intro_1,3,line:1a663dcf,198e07bd20a7e40b,Kobold,,e4a06d17a293934f,0281c11949d0792b,18
L02 Conrad,intro,Conrad_Intro_1,4,line:8c563ab8,d474060b980dd4bb,Kobold,,9c95a76fc2f54604,c288be190566ac90,22
L02 Conrad,intro,Conrad_Intro_1,5,line:1d4b8528,6c70580a9b88273d,Conrad,,ca42a90f8a2d957a,c2958f1965e3f4a4,45
L02 Conrad,progress,Conrad_required_1,1,line:8a35fb7b,87e002767e44df8e,Conrad,,6e2bf596c60244b2,0a0ca81961da6034,19
L02 Conrad,progress,Conrad_required_1,2,line:6fbc3c1b,2d6d31d664759240,Conrad,,4f961f60ee5699fe,c3de88196dfbc9c0,37
L02 Conrad,progress,Conrad_required_1,3,line:f98c3b6c,906e9b3e20a54dc2,Kobold,,b95c05bfab9c8373,c3b8801968fbe7c8,28
L02 Conrad,progress,Conrad_required_1,4,line:a0a0a49c,c41cb150dfd261d8,Kobold,,81d86f47186c4021,c29b8f191dc24a85,17
L02 Conrad,progress,Conrad_required_1,5,line:43dd32f5,0c503978e6cd3a78,Conrad,,726f876140032fa4,c25186194558a8e0,12
L02 Conrad,progress,Conrad_required_1,6,line:d5ed3582,c9ce0c4dd28236fa,Conrad,,e8074d308cd52f16,c299ad192dfa2401,40
L02 Conrad,progress,Conrad_required_1,7,line:7678511c,daac14e0bc00f0ad,Kobold,,fd9c1599be48104f,42bd8f1925e996ae,19
L02 Conrad,progress,Conrad_required_1,8,line:e048566b,824dda92c5ffbad9,Kobold,,0efea166568eee1c,1235011921d922e4,5
L02 Conrad,progress,Conrad_required_1,9,line:5a195ff2,33cb9fb42cd6a080,Conrad,,f07f251f4150b8b3,4201841945c39848,46
L02 Conrad,progress,Conrad_required_1,10,line:cc295885,96b0e7561e23fcbb,Kobold,,5f656bc552ce8fa4,00a580190c0024a2,6
L02 Conrad,progress,Conrad_required_1,11,line:5d34e715,175ccc13192756d4,Conrad,,62e3fc14de090c42,4281a71941e249bc,28
L02 Conrad,progress,Conrad_required_1,12,line:cb04e062,fcc67c51c62fb4e9,Conrad,,a5c6b8306d6596e4,c253b5194dbba454,41
L02 Conrad,progress,Conrad_required_1,13,line:3690a3eb,a29919179016a4e8,Conrad,,7d416aa22e438b3f,c289ad1965e3f84c,28
L02 Conrad,progress,Conrad_required_1,14,line:8cc1aa72,6ec80eb8deb5afd8,Kobold,,5e1ea56adce4eb57,c209af1961e2268c,24
L02 Conrad,progress,Conrad_required_1,15,line:1af1ad05,22706d3faee3b165,Kobold,,4b1f09ffea008090,42918f1965e3ad6a,38
L02 Conrad,progress,Conrad_required_1,16,line:b964c99b,4a8d1297fbe8f246,Conrad,,5664538192cd8dbb,c2d9af19456285f4,34
L02 Conrad,progress,Conrad_required_1,17,line:2f54ceec,fcc67c51c62fb4e9,Conrad,,a5c6b8306d6596e4,c253b5194dbba454,41
L02 Conrad,jerkoff,Conrad_1_JerkOff_Start,1,line:9e403ecd,6d4db2b6b39822b2,Conrad,,36bc7cd787456675,d49401193db81ac5,12
L02 Conrad,jerkoff,Conrad_1_JerkOff_Start,2,line:087039ba,8fc6411ffc04a8f3,Conrad,,6e7ecf10083ec035,42a10f197058a1c0,10
L02 Conrad,cum,Conrad_1_Cum,1,line:e48243c0,e51f82fb1e4773ad,Conrad,,ee86b45214d6f0c4,d49645197db23ac5,9
L02 Conrad,cum,Conrad_1_Cum,2,line:72b244b7,6d721d6e2ad2ae1c,Conrad,,b26af6e74ec13578,c2c1df1945efad84,19
L02 Conrad,mount_start,conrad_mount_no,1,line:c236bdf9,b902443f60bdba87,Conrad,,61432d4918a4aeaa,46bd841900a08446,8
L02 Conrad,mount_start,conrad_mount_no,2,line:5406ba8e,ccdcfc48472b3533,Conrad,,b0a75aa783f1afeb,0213811945933988,48
L02 Conrad,outro,Conrad_Outro_1,1,line:7fe73572,2edaf16ee5b742a8,Conrad,,3474536c2ce5b14d,c2c8e9194d60ed30,18
L02 Conrad,outro,Conrad_Outro_1,2,line:e9d73205,882508b81f97e7cf,Conrad,,26c1823abfdd2144,c2d9ad1945fbe56a,56
L02 Conrad,outro,Conrad_Outro_1,3,line:78ca8d95,51335374627e92a3,Kobold,,484aab2f2cd0f77b,89cb9f1960fa8d76,5
L02 Conrad,outro,Conrad_Outro_1,4,line:b122441b,598e348ffe7cc978,Kobold,,e0f59e3ce99e375b,c2a9a61961d7f834,29
L02 Conrad,outro,Conrad_Outro_1,5,line:eefa8ae2,3eba607f0573bf98,Conrad,,dfb796720c446dd6,c28b8f1961e3b5ec,25
L02 Conrad,outro,Conrad_Outro_1,6,line:0b734d82,4e52b9a8b0ae1335,Conrad,,00213481bd84eda5,c2d3af194dfab4b7,55
L02 Conrad,outro,Conrad_Outro_1,7,line:9d434af5,25d0b6008550c533,Kobold,,7dcdc3b5f6be4e1d,82bb821925deda0a,22
L02 Conrad,outro,Conrad_Outro_1,8,line:2712436c,2e92d12d86bf03a5,Conrad,,2156b40a714da48e,c201811961d29eed,21
L02 Conrad,outro,Conrad_Outro_1,9,line:12b72085,426726c5d08284a8,Conrad,,140b17190d1b432b,c290a71965f76484,49
L02 Conrad,outro,Conrad_Outro_1,10,line:848727f2,28c3830dac3b9c5b,Kobold,,69f63f60874763b5,c2d1811945e2b98a,16
L02 Conrad,outro,Conrad_Outro_1,11,line:3ed62e6b,fac432bdcfb4b753,Conrad,,b1663e5abb49b43e,42d989191d9cece2,31
L02 Conrad,outro,Conrad_Outro_1,12,line:a8e6291c,ee7433c3dd161b65,Conrad,,1544d3f63a40adb5,c2158119455047fc,18
L03 Alexander,intro,Alexander_1_intro,1,line:a2ba222e,dbca31128a900488,Alexander,,6be05485e02f9d62,82c29f194559d803,49
L03 Alexander,intro,Alexander_1_intro,2,line:33a79dbe,a6208f4370193b60,Kobold,,154408d23e93c680,c2c3e7196df08d08,30
L03 Alexander,intro,Alexander_1_intro,3,line:b6c878fa,7b999e621945fe90,Kobold,,c06fc555902938b4,b53f7d197981bca9,3
L03 Alexander,intro,Alexander_1_intro,4,line:a5979ac9,fdf9d60aca05c19e,Alexander,,28425a66bcb5c08f,c2a29d194d9a8540,48
L03 Alexander,intro,Alexander_1_intro,5,line:20f87f8d,12456a9c2599222e,Alexander,,c9e6203cc493b514,c2d587190dd26350,37
L03 Alexander,intro,Alexander_1_intro,6,line:0c997163,cccd2e909950ad59,Alexander,,6d785acc7d4ce49f,d2f167197cd82f78,9
L03 Alexander,intro,Alexander_1_intro,7,line:9aa97614,f5b90500599eaa0a,Alexander,,0eb4d7e7edf86a4e,4291811945c1ee7c,56
L03 Alexander,intro,Alexander_1_intro,8,line:393c128a,26f8788d21d9fd7d,Kobold,,ee10714efd52964d,c2db951965fb35e8,35
L03 Alexander,intro,Alexander_1_intro,9,line:155d1c64,7cc55c8bb6442b93,Kobold,,64e3084a6b8d2206,42998a1905c2d41a,22
L03 Alexander,intro,Alexander_1_intro,10,line:af0c15fd,c9b9bda16ee1d468,Alexander,,1a9714786500f785,c20189194dfaf4dc,52
L03 Alexander,intro,Alexander_1_intro,11,line:836d1b13,8569efc4ed5a6273,Alexander,,844347e54f00c4b9,36d58e1925a385c4,9
L03 Alexander,intro,Alexander_1_intro,12,line:1270a483,57c2b1f349d8b9e9,Alexander,,2232ffb4159c3984,4293b01925faa0e6,46
L03 Alexander,intro,Alexander_1_intro,13,line:8440a3f4,c44510120d3f5f7e,Alexander,,75d4ff397acef10d,c29aac1945c48134,40
L03 Alexander,intro,Alexander_1_intro,14,line:61c96494,550840616bc8148d,Kobold,,d16df48e7e97de2b,43c19a1961cb8f98,20
L03 Alexander,intro,Alexander_1_intro,15,line:ee3d0ee4,21e1f6bc71429bdb,Kobold,,5ea10a7fa58a4349,c281a11945e3bd74,38
L03 Alexander,intro,Alexander_1_intro,16,line:f7f963e3,14ddfac745bc0ec3,Alexander,,cf0f49ec2d38eeff,02dbb0192d9fe867,7
L03 Alexander,intro,Alexander_1_intro,17,line:4da86a7a,ab5df625bc76dbd4,Alexander,,e3b0c44298fc1c14,0000000000000000,0
L03 Alexander,intro,Alexander_1_intro,18,line:db986d0d,65b94d53036df4ac,Alexander,,05de271476b452e2,c2a3e81965e2d537,21
L03 Alexander,intro,Alexander_1_intro,19,line:780d0993,f602395a77ff68c4,Kobold,,17e486b07ac0ed54,829f891961aabee4,13
L03 Alexander,progress,Alexander_1_required,1,line:73e4789c,8bb197f659df9e12,Alexander,,83abfdc607a89f39,02d1a61965da6120,61
L03 Alexander,progress,Alexander_1_required,2,line:e5d47feb,c3971608b1a13f1b,Kobold,,aec10d873878e2fb,520bb61941c182b7,9
L03 Alexander,progress,Alexander_1_required,3,line:8512365e,3afdda2c098fc834,Kobold,,844347e54f00c4b9,36d58e1925a385c4,9
L03 Alexander,progress,Alexander_1_required,4,line:74c9c07b,90d6678c9549b1e0,Alexander,,2e98e8389f6c8b30,129902192dfac3a3,21
L03 Alexander,progress,Alexander_1_required,5,line:e2f9c70c,55c80016618e1bc5,Alexander,,737276ccc1b00e37,82a3ad1969d2e96f,38
L03 Alexander,progress,Alexander_1_required,6,line:13223129,02fa2a9691178177,Alexander,,19e240f3698d3fd5,d8c693192dd240b9,9
L03 Alexander,progress,Alexander_1_required,7,line:a97338b0,32e117cdd1f56f3f,Alexander,,f8ea695d8d34330c,c3d0ad194de1e522,71
L03 Alexander,jerkoff,alexander_jerk_off_no,1,line:22b5941e,f33ca08a17779409,Alexander,,47cf860a79d5497b,4291891965c298f4,42
L03 Alexander,mount_start,alexander_mount_no,1,line:f80bd44b,170ebd10775afd58,Alexander,,1b30ff2ebe8a1422,4299a31945c08a3e,40
L03 Alexander,outro,Alexander_1_Outro,1,line:fd68807c,d202075090a8960b,Alexander,,144217aa024e4238,c251ad194df3403c,54
L03 Alexander,outro,Alexander_1_Outro,2,line:5efde4e2,b8a4a2d6c54c16d8,Kobold,,b825d7019d825226,b568851979a4cf55,3
L03 Alexander,outro,Alexander_1_Outro,3,line:729cea0c,b6069e62e167364f,Kobold,,cea0ff8e3cc34807,82a1bc191d747927,25
L03 Alexander,outro,Alexander_1_Outro,4,line:c8cde395,981447d1952fe850,Alexander,,95614cf23a4a7fe6,e2b885192df5c924,15
L03 Alexander,outro,Alexander_1_Outro,5,line:e4aced7b,5d7279822bcee7dd,Alexander,,0071611fc1b477be,c2978f196592e151,59
L03 Alexander,outro,Alexander_1_Outro,6,line:75b152eb,8117291ab8529b4f,Alexander,,c7951ba79c39bce0,c2d986194dd360a8,44
L03 Alexander,outro,Alexander_1_Outro,7,line:e381559c,dae0c0aa3ae01c37,Alexander,,d03258db2c301c01,12d3a61925a10040,18
L04 Ryan,intro,Ryan_2_intro,1,line:933efa6d,7825d92f67bdcdef,Ryan,,f502f9bf3ae33279,e211b41901220186,8
L04 Ryan,intro,Ryan_2_intro,2,line:050efd1a,cd26586143766826,Kobold,,7d6cfda0dfd177cc,a3db3519698e47da,7
L04 Ryan,intro,Ryan_2_intro,3,line:296ff3f4,b8a4a2d6c54c16d8,Kobold,,b825d7019d825226,b568851979a4cf55,3
L04 Ryan,intro,Ryan_2_intro,4,line:bf5ff483,6a67a8866ec70c09,Ryan,,3bceaba0dac55ae4,c219a11945e1a498,26
L04 Ryan,intro,Ryan_2_intro,5,line:b8724c64,921bd4effdaa2a2f,Ryan,,4608c452ef9e4431,02c1a51925ea8da0,26
L04 Ryan,intro,Ryan_2_intro,6,line:2e424b13,387d0da740d0826e,Ryan,,39dbe173369d8156,c2dd831965f2cf72,26
L04 Ryan,intro,Ryan_2_intro,7,line:4d6cd625,e542b800ecfc350a,Ryan,,f32dd4e4c21db197,c293ad194de0a43e,46
L04 Ryan,intro,Ryan_2_intro,8,line:db5cd152,78b22bcc76942425,Ryan,,9cd5cff38745eaca,42919b1961f27563,28
L04 Ryan,intro,Ryan_2_intro,9,line:610dd8cb,21abbb56e463a200,Ryan,,27f9a98e035be861,c2c9f01964716e63,20
L04 Ryan,intro,Ryan_2_intro,10,line:f73ddfbc,da3405e1151a476e,Ryan,,30553a3d05a96dbc,4291881945d3fcec,38
L04 Ryan,intro,Ryan_2_intro,11,line:54a8bb22,41dc14e2cd744b1b,Kobold,,38429a3a864d5de9,82198a1925c2c0f0,18
L04 Ryan,intro,Ryan_2_intro,12,line:78c9b5cc,b231225bfcc08d4c,Kobold,,af3e67eb123d797f,031122196058e008,18
L04 Ryan,intro,Ryan_2_intro,13,line:c298bc55,056b5511850d7220,Ryan,,21d63267fca86cb8,3613821925c28498,14
L04 Ryan,intro,Ryan_2_intro,14,line:eef9b2bb,b4e4d893367947a0,Ryan,,98fba5c2868a6ad1,839bb5196de2a590,19
L04 Ryan,intro,Ryan_2_intro,15,line:7fe40d2b,c9cdea9d31e53d5b,Ryan,,e807de4d13186cc9,4213a5196dc3e90a,34
L04 Ryan,intro,Ryan_2_intro,16,line:e9d40a5c,ab5df625bc76dbd4,Ryan,,e3b0c44298fc1c14,0000000000000000,0
L04 Ryan,intro,Ryan_2_intro,17,line:0c5dcd3c,ab74167fe23c9db5,Ryan,,da92f75c24b0a271,c01d8f190cb9c033,10
L04 Ryan,intro,Ryan_2_intro,18,line:9a6dca4b,5cbc0ceea57587db,Kobold,,c79347ed26dd96c5,820c8519258b80b0,11
L04 Ryan,intro,Ryan_2_intro,19,line:203cc3d2,08411b780900fb59,Kobold,,af52fda481a3b3f4,8209b21925c348b9,20
L04 Ryan,intro,Ryan_2_intro,20,line:b60cc4a5,a386908e3024f35e,Ryan,,705db0603fd54314,c200b2194070296e,7
L04 Ryan,progress,Ryan_2_required,1,line:aa0dda7b,580684f8909e025d,Ryan,,fa690b82061edfd2,334a25192fe3767d,3
L04 Ryan,progress,Ryan_2_required,2,line:3c3ddd0c,b4eff799a0271863,Kobold,,b82e2178ecf4d0c5,08ba5b07b55ebd0e,2
L04 Ryan,progress,Ryan_2_required,3,line:866cd495,fad448038cd06268,Kobold,,51eb91d2141a39b6,434000194c18d840,8
L04 Ryan,progress,Ryan_2_required,4,line:105cd3e2,a1dd2ff2d1ef6beb,Ryan,,be31f2cd3934083f,c2d3b2190d874107,24
L04 Ryan,progress,Ryan_2_required,5,line:81416c72,2acd4405a7f14ae3,Kobold,,187022cfcf0c52a5,c3c1801945bcd840,24
L04 Ryan,progress,Ryan_2_required,6,line:709a9a57,c10c037156053bfe,Kobold,,c0cafcf0e2d6a236,004084191d08a281,4
L04 Ryan,progress,Ryan_2_required,7,line:17716b05,4f6d869aa239596c,Ryan,,4bb39f56806aa1fa,0219851961d21992,14
L04 Ryan,progress,Ryan_2_required,8,line:e6aa9d20,0fa0dff561f86016,Ryan,,865f76569bac32e6,02e3861921f77d97,21
L04 Ryan,progress,Ryan_2_required,9,line:5cfb94b9,9a38b89ed035e464,Ryan,,63bf11e051949f9a,42f386196dff95b7,59
L04 Ryan,progress,Ryan_2_required,10,line:cacb93ce,9b943020b9ae2658,Ryan,,bb1346a19bd47bdf,c311ac1961550014,26
L04 Ryan,progress,Ryan_2_required,11,line:695ef750,ab5df625bc76dbd4,Ryan,,e3b0c44298fc1c14,0000000000000000,0
L04 Ryan,progress,Ryan_2_required,12,line:ff6ef027,954ba66a076849a5,Ryan,,39eb01d302f269d4,c2c3ac1965f3cdff,41
L04 Ryan,progress,Ryan_2_required,13,line:453ff9be,f173e528733bb05a,Kobold,,03c9d8440cf52e4f,c7ccd71949e4d7d3,7
L04 Ryan,progress,Ryan_2_required,14,line:d422462e,7b102f547a549072,Kobold,,742fe1796ae4b895,c2f1c5194dfaadc2,37
L04 Ryan,progress,Ryan_2_required,15,line:d30ffec9,d74bb8fcbf89b62a,Ryan,,3a5a91c01678f851,02b18c192dbab905,47
L04 Ryan,progress,Ryan_2_required,16,line:42124159,64973f6ac9ac08be,Ryan,,36b749cde4d0e8c1,c2dbb11965d9e07c,49
L04 Ryan,progress,Ryan_2_required,17,line:31ab814e,93fa9e1a16f34a7d,Ryan,,180abddb5defe3d7,c381ad1969d1e119,35
L04 Ryan,progress,Ryan_2_required,18,line:a79b8639,797653f5e081152e,Ryan,,11e59bc951a55bfd,c2c189197dceb5ec,37
L04 Ryan,progress,Ryan_2_required,19,line:1dca8fa0,64973f6ac9ac08be,Ryan,,36b749cde4d0e8c1,c2dbb11965d9e07c,49
L04 Ryan,progress,Ryan_2_required,20,line:8bfa88d7,b11d41e01fefb995,Kobold,,64fa3d762cc8157a,02f3a71925f0c125,34
L04 Ryan,progress,Ryan_2_required,21,line:be5feb3e,c6df1e087ef5d8e4,Kobold,,9659a702d43ac0da,42108f1940e4cab8,24
L04 Ryan,progress,Ryan_2_required,22,line:286fec49,ebb96171ea7628a0,Ryan,,742951145f02ea4d,02fd8c1919e3a6ed,7
L04 Ryan,progress,Ryan_2_required,23,line:040ee2a7,91c0e3e9014024af,Ryan,,62a8a7b871986a90,4299a31944609830,6
L04 Ryan,outro,Ryan_2_Outro,1,line:797ca540,cb57ee6155ed6ca5,Ryan,,c3b6f2534afa98c6,920001190d8819a2,18
L04 Ryan,outro,Ryan_2_Outro,2,line:e8611ad0,f6d370e531334fab,Ryan,,ecb5c103d167985d,82c387196dfa8570,44
L04 Ryan,outro,Ryan_2_Outro,3,line:7e511da7,a402a75e0522e087,Kobold,,0f39392d26addbd6,031182190448c4c8,8
L04 Ryan,outro,Ryan_2_Outro,4,line:83c55e2e,94e0ea6f97e24a81,Kobold,,b0f67a6135076b5e,42b1a9190526ad93,26
L04 Ryan,outro,Ryan_2_Outro,5,line:15f55959,4f66abc45de7ff53,Ryan,,c43e81c16a8233cb,c2c2901968d8c098,16
L04 Ryan,outro,Ryan_2_Outro,6,line:399457b7,ee65a6c9748b539c,Ryan,,6c82983ebabb4167,c289ab194dfbe573,37
L04 Ryan,outro,Ryan_2_Outro,7,line:afa450c0,0e95dd9dae12e50e,Kobold,,5295a3049c281763,c29b841965f16586,23
L04 Ryan,outro,Ryan_2_Outro,8,line:9a013329,78c778b6ee0575d9,Kobold,,63fe1e6c8aff6ae6,4293871905d7e1a0,48
L04 Ryan,outro,Ryan_2_Outro,9,line:0c31345e,f204fcc6b711621e,Ryan,,879087c526faafc9,02d9a2190d889997,13
L04 Ryan,outro,Ryan_2_Outro,10,line:20503ab0,72eaafd8ad3f6b0d,Ryan,,20f9b9010d32afae,429384196d8aecc8,31
L04 Ryan,outro,Ryan_2_Outro,11,line:b6603dc7,fe454a1e25772898,Kobold,,5a9601d6d45b668d,0291ac196dd299c9,26
L04 Ryan,outro,Ryan_2_Outro,12,line:b14d8520,513af1a2eeeef9b6,Kobold,,dc4be1f250b34bc2,c3b3a7196df3c5bb,35
